Precio,Expensas,Barrio,Dormitorios,Banos,Ambientes,Antiguedad,Sup_Cubierta_m2,Sup_Total_m2,Amenities,Losa_Central,Aire_Acond,Apto_Credito,Cochera,Seguridad,Luminoso,Balcon_Aterrazado,A_Estrenar,Precio_m2,Proporcion_Cubierta,Indice_Seguridad,Categoria_Seguridad
49500,84000,Saavedra,2.0,1.0,3.0,50.0,53.0,53.0,0,0,0,0,0,0,1,0,0,933.9622641509434,1.0,0.8147202091006297,Segura
127900,200000,Saavedra,1.0,1.0,2.0,3.0,45.0,45.0,1,1,1,1,1,1,1,0,0,2842.222222222222,1.0,0.967209219436854,Muy Segura
125000,190000,Saavedra,1.0,1.0,2.0,17.0,50.0,50.0,1,0,1,1,0,0,1,0,0,2500.0,1.0,0.9544374480218605,Muy Segura
144900,98000,Saavedra,2.0,1.0,3.0,11.0,56.0,70.0,0,0,0,0,0,0,1,0,0,2070.0,0.8,0.9145479386954971,
269500,327000,Saavedra,2.0,1.0,3.0,7.0,57.0,106.0,1,0,0,1,1,0,1,0,0,2542.4528301886794,0.5377358490566038,0.9116074610906498,Muy Segura
129000,150000,Saavedra,1.0,1.0,2.0,44.0,35.0,89.0,1,0,0,0,0,0,1,0,0,1449.438202247191,0.39325842696629215,0.7159914458833314,Segura
95000,108000,Saavedra,1.0,1.0,1.0,12.0,30.0,33.0,0,0,0,0,0,0,1,0,0,2878.787878787879,0.9090909090909091,0.9757039325175241,Muy Segura
280000,290000,Saavedra,2.0,1.0,3.0,5.0,58.0,131.0,1,0,0,1,1,0,1,0,0,2137.4045801526718,0.44274809160305345,0.9025781157181894,Muy Segura
125000,180000,Saavedra,2.0,1.0,3.0,50.0,58.0,58.0,0,0,0,1,0,1,1,0,1,2155.1724137931033,1.0,0.9250920755613639,Muy Segura
165000,40000,Saavedra,2.0,2.0,3.0,10.0,65.0,95.0,1,0,0,1,0,0,1,0,0,1736.842105263158,0.6842105263157895,0.9521207080907687,Muy Segura
165000,260000,Saavedra,2.0,1.0,3.0,15.0,48.0,48.0,1,0,1,0,1,0,1,0,0,3437.5,1.0,0.057621480337412434,Muy Insegura
105000,120000,Saavedra,1.0,1.0,1.0,10.0,35.0,53.0,0,0,0,0,1,0,0,0,0,1981.132075471698,0.660377358490566,0.7455150291077581,Segura
100000,60000,Saavedra,1.0,1.0,2.0,41.0,40.0,80.0,0,0,1,0,0,1,1,0,0,1250.0,0.5,0.8086610431270049,Segura
105000,130000,Saavedra,1.0,1.0,2.0,40.0,35.0,43.0,0,0,0,1,0,0,1,0,0,2441.860465116279,0.813953488372093,0.8642033978852323,Segura
125000,200000,Saavedra,1.0,1.0,2.0,5.0,48.0,55.0,1,0,1,1,0,0,1,0,0,2272.7272727272725,0.8727272727272727,0.9056671022929785,Muy Segura
143000,150000,Saavedra,1.0,1.0,2.0,6.0,52.0,77.0,1,0,0,0,0,0,1,0,0,1857.142857142857,0.6753246753246753,0.946655577996911,Muy Segura
125000,189000,Saavedra,2.0,1.0,3.0,50.0,62.0,64.0,0,0,1,1,0,1,0,0,1,1953.125,0.96875,0.824402993940834,Segura
93000,70000,Saavedra,1.0,1.0,1.0,2.0,25.0,51.0,1,0,0,1,0,0,1,0,0,1823.5294117647059,0.49019607843137253,0.9133301651419745,Muy Segura
130000,150000,Saavedra,2.0,1.0,3.0,40.0,45.0,85.0,0,0,0,1,0,0,1,0,0,1529.4117647058824,0.5294117647058824,0.777711773791137,Segura
230000,60000,Saavedra,2.0,2.0,3.0,10.0,73.0,97.0,1,0,0,1,1,0,1,0,0,2371.134020618557,0.7525773195876289,0.9741000356421528,Muy Segura
210000,170000,Saavedra,2.0,2.0,3.0,29.0,64.0,79.0,0,0,1,0,1,0,1,0,0,2658.227848101266,0.810126582278481,0.9145479386954971,
154900,198000,Saavedra,2.0,1.0,3.0,45.0,63.0,93.0,0,0,0,0,0,0,1,0,0,1665.5913978494623,0.6774193548387096,0.8197101104906737,Segura
89000,77000,Saavedra,1.0,1.0,2.0,40.0,35.0,105.0,1,0,0,1,0,0,0,0,0,847.6190476190476,0.3333333333333333,0.909706546275395,Muy Segura
148000,229691,Saavedra,2.0,1.0,3.0,50.0,61.0,68.0,0,0,0,0,0,1,1,0,0,2176.470588235294,0.8970588235294118,0.8751336580729476,Segura
175000,228700,Saavedra,3.0,1.0,4.0,44.0,99.0,109.0,1,0,0,1,0,0,1,0,0,1605.5045871559632,0.908256880733945,0.9145479386954971,
138000,250000,Saavedra,2.0,2.0,3.0,11.0,80.0,80.0,0,0,0,0,0,0,0,0,0,1725.0,1.0,0.878579066175597,Segura
186988,190000,Saavedra,2.0,2.0,3.0,2.0,68.0,68.0,1,0,0,0,0,0,1,1,1,2749.823529411765,1.0,0.9494475466318165,Muy Segura
134500,140000,Saavedra,3.0,2.0,4.0,40.0,66.0,66.0,1,0,0,0,1,0,1,0,0,2037.878787878788,1.0,0.9145479386954971,
143000,200000,Saavedra,1.0,1.0,2.0,10.0,39.0,39.0,1,0,0,1,0,0,1,0,0,3666.6666666666665,1.0,0.9521207080907687,Muy Segura
219000,184500,Saavedra,2.0,1.0,3.0,6.0,72.0,72.0,0,0,1,0,1,0,1,0,1,3041.6666666666665,1.0,0.9145479386954971,
87000,104000,Saavedra,1.0,1.0,1.0,8.0,34.0,34.0,0,0,0,0,1,0,0,0,0,2558.823529411765,1.0,0.9478436497564453,Muy Segura
74000,120000,Saavedra,1.0,1.0,1.0,15.0,29.0,29.0,1,0,0,0,0,1,1,0,0,2551.7241379310344,1.0,0.9822977307829392,Muy Segura
129000,180000,Saavedra,2.0,1.0,3.0,60.0,59.0,63.0,0,0,1,1,0,0,1,0,0,2047.6190476190477,0.9365079365079365,0.72686230248307,Segura
