Precio,Expensas,Barrio,Dormitorios,Banos,Ambientes,Antiguedad,Sup_Cubierta_m2,Sup_Total_m2,Latitud,Longitud,Link,Amenities,Losa_Central,Aire_Acond,Apto_Credito,Cochera,Seguridad,Luminoso,Balcon_Aterrazado,A_Estrenar,Precio_m2,Proporcion_Cubierta,Indice_Seguridad,Categoria_Seguridad,Subte_Cerca,Percentil_Precio_Barrio,Score
175300,5000,Saavedra,2.0,1.0,3.0,35.0,65.0,78.0,-34.54865,-58.49558,https://www.argenprop.com/departamento-en-venta-en-saavedra-3-ambientes--6716494,1,0,0,1,1,0,1,1,0,2247.4358974358975,0.8333333333333334,0.9719021028870144,Muy Segura,0.0,0.4125874125874126,6.0
115000,125000,Saavedra,1.0,1.0,1.0,8.0,39.0,39.0,-34.552113,-58.483604,https://www.argenprop.com/departamento-en-venta-en-saavedra-1-ambiente--18641003,0,0,0,0,1,0,1,0,0,2948.7179487179487,1.0,0.8770939764761791,Segura,0.0,0.8111888111888111,2.0
195000,385000,Saavedra,2.0,2.0,3.0,19.0,61.0,67.0,-34.53679,-58.46679,https://www.argenprop.com/departamento-en-venta-en-saavedra-3-ambientes--18987524,1,0,1,1,1,0,0,0,0,2910.4477611940297,0.9104477611940298,0.8751336580729476,Segura,0.0,0.7937062937062938,4.5
122000,318000,Saavedra,1.0,1.0,2.0,20.0,45.0,47.0,-34.54725,-58.490562,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--19317200,0,0,0,1,1,0,1,0,1,2595.744680851064,0.9574468085106383,0.8817274563383628,Segura,0.0,0.6293706293706294,3.0
139000,45000,Saavedra,1.0,1.0,2.0,,33.0,48.0,-34.549046,-58.48219,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--16475830,0,0,0,1,0,0,1,0,0,2895.8333333333335,0.6875,0.9694665557799691,Muy Segura,0.0,0.7797202797202797,1.0
169500,170000,Saavedra,1.0,1.0,2.0,3.0,49.0,49.0,-34.54754,-58.47026,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--19069372,1,0,1,0,0,0,1,1,1,3459.183673469388,1.0,0.7023880242366639,Segura,0.0,0.9195804195804196,4.5
890000,910000,Saavedra,3.0,3.0,4.0,15.0,250.0,250.0,-34.55996,-58.48149,https://www.argenprop.com/departamento-en-venta-en-saavedra-4-ambientes--17269794,1,1,0,1,1,1,1,1,0,3560.0,1.0,0.9889509326363313,Muy Segura,0.0,0.9300699300699301,11.0
159000,197000,Saavedra,2.0,1.0,3.0,,89.0,89.0,-34.556316,-58.49022,https://www.argenprop.com/departamento-en-venta-en-saavedra-3-ambientes--17557578,0,0,1,1,0,0,1,1,0,1786.5168539325844,1.0,0.9478436497564453,Muy Segura,0.0,0.11363636363636363,2.5
75000,10000,Saavedra,1.0,1.0,2.0,60.0,38.0,39.0,-34.54583,-58.475197,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--17614586,0,0,0,1,0,0,0,0,0,1923.076923076923,0.9743589743589743,0.9239634073898063,Muy Segura,0.0,0.17307692307692307,1.0
200000,2500,Saavedra,1.0,1.0,1.0,3.0,64.0,64.0,-34.546867,-58.479576,https://www.argenprop.com/departamento-en-venta-en-saavedra-1-ambiente--19179003,1,0,0,0,0,0,0,1,0,3125.0,1.0,0.9544374480218605,Muy Segura,0.0,0.8741258741258742,4.0
